species,order,suborder,sound
Acheta domesticus,Orthoptera,Ensifera,Stridulation
Acrida ungarica mediterranea,Orthoptera,Caelifera,No
Acrometopa italica,Orthoptera,Ensifera,Stridulation
Acrotylus braudi,Orthoptera,Caelifera,Unknown
Acrotylus fischeri,Orthoptera,Caelifera,Unknown
Acrotylus insubricus braudi,Orthoptera,Caelifera,Unknown
Acrotylus insubricus insubricus,Orthoptera,Caelifera,Unknown
Acrotylus patruelis,Orthoptera,Caelifera,Unknown
Aeropedellus variegatus variegatus,Orthoptera,Caelifera,Stridulation
Aiolopus puissanti,Orthoptera,Caelifera,Wing rattle
Aiolopus strepens,Orthoptera,Caelifera,Wing rattle
Aiolopus thalassinus corsicus,Orthoptera,Caelifera,Wing rattle
Aiolopus thalassinus thalassinus,Orthoptera,Caelifera,Wing rattle
Amedegnatiana vicheti,Orthoptera,Ensifera,Stridulation
Anacridium aegyptium,Orthoptera,Caelifera,Wing rattle
Anonconotus alpinus,Orthoptera,Ensifera,Stridulation
Anonconotus apenninigenus,Orthoptera,Ensifera,Unknown
Anonconotus baracunensis,Orthoptera,Ensifera,Stridulation
Anonconotus ghilianii,Orthoptera,Ensifera,Stridulation
Anonconotus ligustinus,Orthoptera,Ensifera,Stridulation
Anonconotus mercantouri,Orthoptera,Ensifera,Stridulation
Anonconotus occidentalis,Orthoptera,Ensifera,Stridulation
Antaxius bouvieri,Orthoptera,Ensifera,Stridulation
Antaxius chopardi,Orthoptera,Ensifera,Stridulation
Antaxius hispanicus,Orthoptera,Ensifera,Stridulation
Antaxius pedestris pedestris,Orthoptera,Ensifera,Stridulation
Antaxius sorrezensis,Orthoptera,Ensifera,Stridulation
Antaxius spinibrachius,Orthoptera,Ensifera,Stridulation
Arachnocephalus vestitus,Orthoptera,Ensifera,No
Arcyptera alzonai,Orthoptera,Caelifera,Stridulation
Arcyptera brevipennis vicheti,Orthoptera,Caelifera,Stridulation
Arcyptera fusca,Orthoptera,Caelifera,Stridulation
Arcyptera kheili,Orthoptera,Caelifera,Stridulation
Arcyptera microptera carpentieri,Orthoptera,Caelifera,Stridulation
Baratia sari,Orthoptera,Ensifera,Unknown
Barbitistes constrictus,Orthoptera,Ensifera,Stridulation
Barbitistes fischeri,Orthoptera,Ensifera,Stridulation
Barbitistes obtusus,Orthoptera,Ensifera,Stridulation
Barbitistes serricauda,Orthoptera,Ensifera,Stridulation
Bicolorana bicolor bicolor,Orthoptera,Ensifera,Stridulation
Bohemanella frigida,Orthoptera,Caelifera,Unknown
Bryodemella tuberculata tuberculata,Orthoptera,Caelifera,Wing rattle
Calephorus compressicornis,Orthoptera,Caelifera,Unknown
Callicrania ramburii,Orthoptera,Ensifera,Stridulation
Calliptamus barbarus barbarus,Orthoptera,Caelifera,Wing rattle
Calliptamus italicus italicus,Orthoptera,Caelifera,Wing rattle
Calliptamus siciliae,Orthoptera,Caelifera,Wing rattle
Calliptamus wattenwylianus,Orthoptera,Caelifera,Wing rattle
Celes variabilis variabilis,Orthoptera,Caelifera,Unknown
Chorthippus albomarginatus albomarginatus,Orthoptera,Caelifera,Stridulation
Chorthippus apricarius apricarius,Orthoptera,Caelifera,Stridulation
Chorthippus biguttulus biguttulus,Orthoptera,Caelifera,Stridulation
Chorthippus binotatus binotatus,Orthoptera,Caelifera,Stridulation
Chorthippus brunneus brunneus,Orthoptera,Caelifera,Stridulation
Chorthippus cialancensis,Orthoptera,Caelifera,Stridulation
Chorthippus corsicus corsicus,Orthoptera,Caelifera,Stridulation
Chorthippus corsicus pascuorum,Orthoptera,Caelifera,Stridulation
Chorthippus dorsatus dorsatus,Orthoptera,Caelifera,Stridulation
Chorthippus eisentrauti,Orthoptera,Caelifera,Stridulation
Chorthippus jacobsi,Orthoptera,Caelifera,Stridulation
Chorthippus jucundus,Orthoptera,Caelifera,Stridulation
Chorthippus jutlandica,Orthoptera,Caelifera,Stridulation
Chorthippus mollis ignifer,Orthoptera,Caelifera,Stridulation
Chorthippus mollis mollis,Orthoptera,Caelifera,Stridulation
Chorthippus pullus,Orthoptera,Caelifera,Stridulation
Chorthippus reissingeri,Orthoptera,Caelifera,Stridulation
Chorthippus sampeyrensis,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi algoaldensis,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi daimei,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi moralesi,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi saulcyi,Orthoptera,Caelifera,Stridulation
Chorthippus saulcyi vicdessossi,Orthoptera,Caelifera,Stridulation
Chorthippus vagans vagans,Orthoptera,Caelifera,Stridulation
Chrysochraon dispar dispar,Orthoptera,Caelifera,Stridulation
Cicada orni,Hemiptera,Cicadomorpha,Cymbalization
Cicada barbara,Hemiptera,Cicadomorpha,Cymbalization
Cicadatra atra,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta brevipennis litoralis,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta cantilatrix,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta cerdaniensis,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta fangoana,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta montana,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta petryi,Hemiptera,Cicadomorpha,Cymbalization
Cicadetta sibillae,Hemiptera,Cicadomorpha,Cymbalization
Conocephalus conocephalus,Orthoptera,Ensifera,Stridulation
Conocephalus dorsalis,Orthoptera,Ensifera,Stridulation
Conocephalus fuscus,Orthoptera,Ensifera,Stridulation
Cophopodisma pyrenaea,Orthoptera,Caelifera,No
Corsteropleurus chopardi,Orthoptera,Ensifera,Stridulation
Cyrtaspis scutata,Orthoptera,Ensifera,Stridulation
Decticus albifrons,Orthoptera,Ensifera,Stridulation
Decticus verrucivorus monspeliensis,Orthoptera,Ensifera,Stridulation
Decticus verrucivorus verrucivorus,Orthoptera,Ensifera,Stridulation
Diestrammena asynamora,Orthoptera,Ensifera,No
Dimissalna dimissa,Hemiptera,Cicadomorpha,Cymbalization
Dociostaurus genei genei,Orthoptera,Caelifera,Stridulation
Dociostaurus jagoi occidentalis,Orthoptera,Caelifera,Stridulation
Dociostaurus maroccanus,Orthoptera,Caelifera,Stridulation
Dolichopoda azami azami,Orthoptera,Ensifera,No
Dolichopoda azami ligustica,Orthoptera,Ensifera,No
Dolichopoda bormansi,Orthoptera,Ensifera,No
Dolichopoda chopardi,Orthoptera,Ensifera,No
Dolichopoda cyrnensis,Orthoptera,Ensifera,No
Dolichopoda geniculata geniculata,Orthoptera,Ensifera,No
Dolichopoda linderii,Orthoptera,Ensifera,No
Epacromius tergestinus ponticus,Orthoptera,Caelifera,Unknown
Epacromius tergestinus tergestinus,Orthoptera,Caelifera,Unknown
Ephippiger diurnus cunii,Orthoptera,Ensifera,Stridulation
Ephippiger diurnus diurnus,Orthoptera,Ensifera,Stridulation
Ephippiger persicarius,Orthoptera,Ensifera,Stridulation
Ephippiger provincialis,Orthoptera,Ensifera,Stridulation
Ephippiger terrestris bormansi,Orthoptera,Ensifera,Stridulation
Ephippiger terrestris caprai,Orthoptera,Ensifera,Stridulation
Ephippiger terrestris terrestris,Orthoptera,Ensifera,Stridulation
Epipodisma pedemontana waltheri,Orthoptera,Caelifera,No
Euchorthippus chopardi,Orthoptera,Caelifera,Stridulation
Euchorthippus declivus,Orthoptera,Caelifera,Stridulation
Euchorthippus elegantulus,Orthoptera,Caelifera,Stridulation
Eugryllodes pipiens,Orthoptera,Ensifera,Stridulation
Eumodicogryllus bordigalensis,Orthoptera,Ensifera,Stridulation
Eupholidoptera chabrieri chabrieri,Orthoptera,Ensifera,Stridulation
Eupholidoptera tyrrhenica,Orthoptera,Ensifera,Stridulation
Euthystira brachyptera,Orthoptera,Caelifera,Stridulation
Eyprepocnemis plorans plorans,Orthoptera,Caelifera,Unknown
Gampsocleis glabra,Orthoptera,Ensifera,Stridulation
Gomphoceridius brevipennis,Orthoptera,Caelifera,Stridulation
Gomphocerippus armoricanus provincialis,Orthoptera,Caelifera,Stridulation
Gomphocerippus rufus,Orthoptera,Caelifera,Stridulation
Gomphocerus sibiricus sibiricus,Orthoptera,Caelifera,Stridulation
Gryllodes sigillatus,Orthoptera,Ensifera,Stridulation
Gryllomorpha dalmatina dalmatina,Orthoptera,Ensifera,No
Gryllomorpha uclensis uclensis,Orthoptera,Ensifera,No
Gryllotalpa africana,Orthoptera,Ensifera,Stridulation
Gryllotalpa gryllotalpa,Orthoptera,Ensifera,Stridulation
Gryllotalpa octodecim,Orthoptera,Ensifera,Unknown
Gryllotalpa sedecim,Orthoptera,Ensifera,Unknown
Gryllotalpa septemdecimchromosomica,Orthoptera,Ensifera,Unknown
Gryllotalpa vineae,Orthoptera,Ensifera,Stridulation
Gryllus bimaculatus,Orthoptera,Ensifera,Stridulation
Gryllus campestris,Orthoptera,Ensifera,Stridulation
Isophya kraussii,Orthoptera,Ensifera,Stridulation
Isophya pyrenaea,Orthoptera,Ensifera,Stridulation
Isophya rectipennis,Orthoptera,Ensifera,Stridulation
Leptophyes albovittata,Orthoptera,Ensifera,Stridulation
Leptophyes boscii,Orthoptera,Ensifera,Stridulation
Leptophyes laticauda,Orthoptera,Ensifera,Stridulation
Leptophyes punctatissima,Orthoptera,Ensifera,Stridulation
Locusta cinerascens cinerascens,Orthoptera,Caelifera,Wing rattle
Locusta migratoria gallica,Orthoptera,Caelifera,Wing rattle
Locusta migratoria migratoria,Orthoptera,Caelifera,Wing rattle
Lucasinova nigromarginata,Orthoptera,Ensifera,Stridulation
Lyristes plebejus,Hemiptera,Cicadomorpha,Cymbalization
Meconema meridionale,Orthoptera,Ensifera,Drumming
Meconema thalassinum,Orthoptera,Ensifera,Drumming
Mecostethus parapleurus parapleurus,Orthoptera,Caelifera,Unknown
Melanogryllus desertus,Orthoptera,Ensifera,Stridulation
Melanoplus frigidus frigidus,Orthoptera,Caelifera,No
Metaplastes pulchripennis,Orthoptera,Ensifera,Stridulation
Metrioptera brachyptera,Orthoptera,Ensifera,Stridulation
Metrioptera buyssoni,Orthoptera,Ensifera,Stridulation
Metrioptera saussuriana,Orthoptera,Ensifera,Stridulation
Miramella alpina alpina,Orthoptera,Caelifera,No
Miramella alpina subalpina,Orthoptera,Caelifera,No
Modicogryllus algirius algirius,Orthoptera,Ensifera,Stridulation
Modicogryllus frontalis,Orthoptera,Ensifera,Stridulation
Mogoplistes brunneus,Orthoptera,Ensifera,No
Myrmecophilus acervorum,Orthoptera,Ensifera,No
Myrmecophilus aequispina,Orthoptera,Ensifera,No
Myrmecophilus fuscus,Orthoptera,Ensifera,No
Myrmecophilus myrmecophilus,Orthoptera,Ensifera,No
Myrmeleotettix maculatus maculatus,Orthoptera,Caelifera,Stridulation
Nadigella formosanta,Orthoptera,Caelifera,Unknown
Natula averni,Orthoptera,Ensifera,Stridulation
Nemobius sylvestris sylvestris,Orthoptera,Ensifera,Stridulation
Odontopodisma decipiens insubrica,Orthoptera,Caelifera,No
Oecanthus dulcisonans,Orthoptera,Ensifera,Stridulation
Oecanthus pellucens pellucens,Orthoptera,Ensifera,Stridulation
Oedaleus decorus,Orthoptera,Caelifera,Wing rattle
Oedipoda caerulescens caerulescens,Orthoptera,Caelifera,Wing rattle
Oedipoda caerulescens sardeti,Orthoptera,Caelifera,Wing rattle
Oedipoda charpentieri,Orthoptera,Caelifera,Wing rattle
Oedipoda coerulea,Orthoptera,Caelifera,Wing rattle
Oedipoda fuscocincta morini,Orthoptera,Caelifera,Wing rattle
Oedipoda germanica germanica,Orthoptera,Caelifera,Wing rattle
Oligoglena tibialis,Hemiptera,Cicadomorpha,Cymbalization
Omocestus antigai antigai,Orthoptera,Caelifera,Stridulation
Omocestus antigai bellmanni,Orthoptera,Caelifera,Stridulation
Omocestus defauti,Orthoptera,Caelifera,Stridulation
Omocestus haemorrhoidalis haemorrhoidalis,Orthoptera,Caelifera,Stridulation
Omocestus petraeus,Orthoptera,Caelifera,Stridulation
Omocestus raymondi,Orthoptera,Caelifera,Stridulation
Omocestus rufipes,Orthoptera,Caelifera,Stridulation
Omocestus viridulus,Orthoptera,Caelifera,Stridulation
Pachytrachis striolatus,Orthoptera,Ensifera,Stridulation
Paracaloptenus bolivari,Orthoptera,Caelifera,No
Paracinema tricolor bisignata,Orthoptera,Caelifera,Wing rattle
Paratettix meridionalis,Orthoptera,Caelifera,No
Petaloptila aliena,Orthoptera,Ensifera,No
Petaloptila andreinii,Orthoptera,Ensifera,No
Pezotettix giornae,Orthoptera,Caelifera,No
Phaneroptera falcata,Orthoptera,Ensifera,Stridulation
Phaneroptera laticerca,Orthoptera,Ensifera,Stridulation
Phaneroptera nana,Orthoptera,Ensifera,Stridulation
Pholidoptera aptera aptera,Orthoptera,Ensifera,Stridulation
Pholidoptera fallax,Orthoptera,Ensifera,Stridulation
Pholidoptera femorata,Orthoptera,Ensifera,Stridulation
Pholidoptera griseoaptera,Orthoptera,Ensifera,Stridulation
Pholidoptera littoralis insubrica,Orthoptera,Ensifera,Stridulation
Pholidoptera littoralis littoralis,Orthoptera,Ensifera,Stridulation
Platycleis affinis affinis,Orthoptera,Ensifera,Stridulation
Platycleis albopunctata albopunctata,Orthoptera,Ensifera,Stridulation
Platycleis albopunctata monticola,Orthoptera,Ensifera,Stridulation
Platycleis falx laticauda,Orthoptera,Ensifera,Stridulation
Platycleis grisea,Orthoptera,Ensifera,Stridulation
Platycleis intermedia intermedia,Orthoptera,Ensifera,Stridulation
Platycleis sabulosa,Orthoptera,Ensifera,Stridulation
Podisma amedegnatoae,Orthoptera,Caelifera,No
Podisma dechambrei dechambrei,Orthoptera,Caelifera,No
Podisma pedestris pedestris,Orthoptera,Caelifera,No
Podismopsis keisti,Orthoptera,Caelifera,Stridulation
Poecilimon amissus,Orthoptera,Ensifera,Stridulation
Polysarcus denticauda,Orthoptera,Ensifera,Stridulation
Polysarcus scutatus,Orthoptera,Ensifera,Stridulation
Prionotropis azami,Orthoptera,Caelifera,Unknown
Prionotropis rhodanica,Orthoptera,Caelifera,Unknown
Pseudochorthippus montanus,Orthoptera,Caelifera,Stridulation
Pseudochorthippus parallelus erythropus,Orthoptera,Caelifera,Stridulation
Pseudochorthippus parallelus parallelus,Orthoptera,Caelifera,Stridulation
Pseudomogoplistes squamiger,Orthoptera,Ensifera,No
Pseudomogoplistes vicentae septentrionalis,Orthoptera,Ensifera,No
Psophus stridulus stridulus,Orthoptera,Caelifera,Wing rattle
Pteronemobius heydenii heydenii,Orthoptera,Ensifera,Stridulation
Pteronemobius lineolatus,Orthoptera,Ensifera,Stridulation
Pyrgomorpha conica conica,Orthoptera,Caelifera,No
Ramburiella hispanica,Orthoptera,Caelifera,Stridulation
Rhacocleis annulata,Orthoptera,Ensifera,Stridulation
Rhacocleis bonfilsi,Orthoptera,Ensifera,Stridulation
Rhacocleis corsicana,Orthoptera,Ensifera,Stridulation
Rhacocleis germanica,Orthoptera,Ensifera,Stridulation
Rhacocleis poneli,Orthoptera,Ensifera,Stridulation
Roeseliana azami azami,Orthoptera,Ensifera,Stridulation
Roeseliana azami minor,Orthoptera,Ensifera,Stridulation
Roeseliana roeselii,Orthoptera,Ensifera,Stridulation
Ruspolia nitidula nitidula,Orthoptera,Ensifera,Stridulation
Saga pedo,Orthoptera,Ensifera,No
Schistocerca gregaria,Orthoptera,Caelifera,Unknown
Sepiana sepium,Orthoptera,Ensifera,Stridulation
Sorapagus catalaunicus,Orthoptera,Ensifera,Stridulation
Sphingonotus caerulans,Orthoptera,Caelifera,Wing rattle
Sphingonotus corsicus,Orthoptera,Caelifera,Wing rattle
Sphingonotus rubescens rubescens,Orthoptera,Caelifera,Wing rattle
Sphingonotus uvarovi,Orthoptera,Caelifera,Wing rattle
Stauroderus scalaris scalaris,Orthoptera,Caelifera,Stridulation
Stenobothrus crassipes,Orthoptera,Caelifera,Stridulation
Stenobothrus cotticus,Orthoptera,Caelifera,Stridulation
Stenobothrus eurasius,Orthoptera,Caelifera,Stridulation
Stenobothrus festivus,Orthoptera,Caelifera,Stridulation
Stenobothrus fischeri glaucescens,Orthoptera,Caelifera,Stridulation
Stenobothrus grammicus,Orthoptera,Caelifera,Stridulation
Stenobothrus lineatus lineatus,Orthoptera,Caelifera,Stridulation
Stenobothrus nigromaculatus nigromaculatus,Orthoptera,Caelifera,Stridulation
Stenobothrus rubicundulus,Orthoptera,Caelifera,Stridulation
Stenobothrus stigmaticus stigmaticus,Orthoptera,Caelifera,Stridulation
Stenonemobius gracilis,Orthoptera,Ensifera,Unknown
Stethophyma grossum,Orthoptera,Caelifera,Stridulation
Svercus palmetorum palmetorum,Orthoptera,Ensifera,Stridulation
Tachycines asynamorus,Orthoptera,Ensifera,No
Tessellana tessellata tessellata,Orthoptera,Ensifera,Stridulation
Tetrix bipunctata,Orthoptera,Caelifera,No
Tetrix bolivari,Orthoptera,Caelifera,No
Tetrix ceperoi ceperoi,Orthoptera,Caelifera,No
Tetrix depressa,Orthoptera,Caelifera,No
Tetrix kraussi,Orthoptera,Caelifera,No
Tetrix subulata,Orthoptera,Caelifera,No
Tetrix tenuicornis,Orthoptera,Caelifera,No
Tetrix tuerki tuerki,Orthoptera,Caelifera,No
Tetrix undulata gavoyi,Orthoptera,Caelifera,No
Tetrix undulata undulata,Orthoptera,Caelifera,No
Tettigettalna argentata,Hemiptera,Cicadomorpha,Cymbalization
Tettigettula pygmea,Hemiptera,Cicadomorpha,Cymbalization
Tettigonia cantans,Orthoptera,Ensifera,Stridulation
Tettigonia caudata caudata,Orthoptera,Ensifera,Stridulation
Tettigonia viridissima,Orthoptera,Ensifera,Stridulation
Thyreonotus corsicus corsicus,Orthoptera,Ensifera,Stridulation
Tibicina corsica corsica,Hemiptera,Cicadomorpha,Cymbalization
Tibicina corsica fairmairei,Hemiptera,Cicadomorpha,Cymbalization
Tibicina garricola,Hemiptera,Cicadomorpha,Cymbalization
Tibicina haematodes,Hemiptera,Cicadomorpha,Cymbalization
Tibicina nigronervosa,Hemiptera,Cicadomorpha,Cymbalization
Tibicina quadrisignata,Hemiptera,Cicadomorpha,Cymbalization
Tibicina steveni,Hemiptera,Cicadomorpha,Cymbalization
Tibicina picta,Hemiptera,Cicadomorpha,Cymbalization
Trigonidium cicindeloides,Orthoptera,Ensifera,No
Troglophilus cavicola,Orthoptera,Ensifera,No
Troglophilus neglectus,Orthoptera,Ensifera,No
Tropidopola cylindrica cylindrica,Orthoptera,Caelifera,Wing rattle
Tylopsis lilifolia,Orthoptera,Ensifera,Stridulation
Uromenus brevicollis insularis,Orthoptera,Ensifera,Stridulation
Uromenus rugosicollis,Orthoptera,Ensifera,Stridulation
Xya pfaendleri,Orthoptera,Caelifera,No
Xya variegata,Orthoptera,Caelifera,No
Yersinella beybienkoi,Orthoptera,Ensifera,Stridulation
Yersinella raymondii,Orthoptera,Ensifera,Stridulation
Zeuneriana abbreviata,Orthoptera,Ensifera,Stridulation
